 FL,cruiseTAS,cruiseLo,cruiseNom,cruiseHi,climbTAS,climbLo,climbNom,climbHi,climbFFNom,descentTAS,descentNom,descentFF
0,-1,-1,-1,-1,148,2074,1726,1551,64.6,139,727,21.2
5,-1,-1,-1,-1,149,2064,1715,1539,64.1,140,740,21
10,-1,-1,-1,-1,150,2054,1704,1527,63.7,146,787,21
15,-1,-1,-1,-1,156,2145,1775,1590,63.6,157,851,11
20,-1,-1,-1,-1,157,2134,1763,1578,63.2,189,1045,11
30,230,20.1,23.4,25.8,180,2470,2029,1814,63.9,230,1307,11
40,233,20.2,23.5,25.9,215,2857,2320,2066,65.3,233,1325,11
60,272,24.5,27.2,29.1,272,3155,2467,2155,67.2,272,1695,11
80,280,24.6,27.3,29.3,280,3044,2370,2062,65.4,280,1736,11
100,289,24.8,27.5,29.5,323,2823,2203,1921,65.8,345,2595,11
120,297,25,27.7,29.7,332,2679,2079,1804,63.8,356,2643,11
140,342,30.6,32.9,34.6,342,2530,1949,1682,61.9,366,2689,11
160,353,30.8,33.1,34.8,353,2374,1814,1555,59.9,377,2735,11
180,363,30.9,33.3,35.1,363,2212,1674,1423,58,388,2779,11
200,375,31.1,33.6,35.3,375,2044,1529,1286,56,400,2821,11
220,386,31.3,33.8,35.6,386,1870,1379,1145,53.9,412,2862,11
240,398,31.5,34,35.9,398,1691,1223,998,51.9,425,2901,11
260,411,31.6,34.2,36.1,411,1506,1063,848,49.8,432,3832,11
280,416,30.7,33.5,35.4,416,2053,1308,971,47.4,428,3586,11
290,414,29.7,32.6,34.6,414,2001,1255,917,46,426,1668,11
310,411,27.8,30.9,33.2,411,1879,1135,794,43.2,422,1586,11
330,407,26.1,29.6,32,407,1733,993,651,40.4,419,1530,11
350,403,24.7,28.4,31.1,403,1564,831,488,37.7,415,1500,11
