index, aircraft, delta1, noFlights, noCombos, singletonList, noSolutions
0,A340#16,0.13697457313537598,4,180,[],17
1,CRJ700#67,6.192486047744751,5,6048,[],279
2,A318#34,5.271305084228516,6,5040,[],150
3,ERJ135#207,4.769970417022705,6,5544,[],155
4,A330#15,0.00800180435180664,1,2,[],2
5,A319#43,0.13907456398010254,4,144,[],22
6,A320#55,0.9789304733276367,5,864,[],17
7,A319#101,6.071354866027832,6,5376,[],1
8,A319#5,2.2591450214385986,5,1728,[],63
9,A340#73,0.0070018768310546875,1,1,[],1
10,A320#56,6.72828483581543,8,5832,[],23
11,A319#203,0.03831601142883301,3,24,[],6
12,A320#50,0.49183177947998047,7,432,[],11
13,ERJ135#18,18.123040914535522,7,13824,[],123
14,A320#129,5.018118381500244,7,4320,[],68
15,ERJ135#159,4.669384479522705,6,3600,[],95
16,A320#59,2.7260935306549072,7,1920,[],20
17,A320#53,11.878965616226196,8,9600,[],38
18,A318#125,0.5468788146972656,6,576,[],1
19,A319#38,20.978678703308105,8,17280,[],44
20,A318#33,8.998319864273071,7,8000,[],147
21,A320#6,4.592730283737183,7,4320,[],11
22,A320#105,0.8969731330871582,6,900,[],16
23,A320#138,7.459759473800659,8,6912,[],46
24,A319#163,6.4225733280181885,8,5760,[],104
25,A319#126,15.034914493560791,8,12960,[],111
26,A321#106,5.503941297531128,7,4320,[],4
27,A320#48,2.2846410274505615,8,2160,[],11
28,A320#120,4.015771150588989,8,3888,[],6
29,A319#127,6.155744314193726,8,4608,[],21
30,A320#153,19.873676538467407,8,15552,[],82
31,CRJ100#225,4.311958074569702,7,3888,[],60
32,A320#168,30.616003274917603,6,26880,[],521
33,ERJ135#93,12.867101430892944,7,11520,[],31
34,CRJ100#226,25.817023754119873,8,23040,[],14
35,A320#139,16.993780851364136,8,17010,[],129
36,A321#197,23.46208643913269,8,18000,[],99
37,ERJ135#178,10.52589750289917,8,7680,[],45
38,ERJ135#29,18.196104288101196,7,15840,[],119
39,F100#87,27.826414108276367,9,25200,[[('F100#87', 'F100', '533701/03/08', 'LYS', 880, 940, 'RNS', 960, 1020, '0', 30, 0), 'arr']],328
40,A320#152,42.816680908203125,7,35280,[],426
41,A320#49,46.28977823257446,8,40320,[],177
42,A318#17,52.48292064666748,9,46080,[],304
43,A321#114,79.76619577407837,8,72000,[],276
44,A320#235,184.94183588027954,8,145152,[],690
45,A321#147,192.04845213890076,8,145152,[],462
46,A320#128,188.2268316745758,9,141120,[],767
47,A319#149,161.0835418701172,9,127008,[],335
48,A321#200,108.12164044380188,9,80640,[],57
49,A318#183,172.33542370796204,9,129600,[],291
50,A318#24,96.65459275245667,9,145152,[],38
51,A319#20,73.81881332397461,10,144000,[],197
52,A319#188,60.66761541366577,10,115200,[],148
53,A320#222,79.53006410598755,11,155520,[],1
54,A320#141,47.93926024436951,10,82944,[],147
55,A319#187,227.73441433906555,10,403200,[],167
